County,year,month,temp_mean,rain_sum
台南市,2010,1,18.3,11.5
台南市,2010,2,20.2,32.0
台南市,2010,3,22.8,0.3
台南市,2010,4,23.7,28.1
台南市,2010,5,27.6,114.0
台南市,2010,6,28.1,283.4
台南市,2010,7,29.3,501.4
台南市,2010,8,29.6,210.0
台南市,2010,9,28.4,461.0
台南市,2010,10,26.3,69.0
台南市,2010,11,22.1,54.0
台南市,2010,12,19.2,14.5
台南市,2011,1,15.4,6.7
台南市,2011,2,17.9,7.7
台南市,2011,3,19.2,4.7
台南市,2011,4,23.9,26.0
台南市,2011,5,26.7,55.2
台南市,2011,6,29.1,304.0
台南市,2011,7,28.7,401.5
台南市,2011,8,29.5,172.3
台南市,2011,9,28.8,5.0
台南市,2011,10,26.2,27.8
台南市,2011,11,24.1,203.5
台南市,2011,12,18.4,4.4
台南市,2012,1,17.2,5.5
台南市,2012,2,17.6,40.0
台南市,2012,3,21.4,6.5
台南市,2012,4,26.1,141.5
台南市,2012,5,27.6,404.5
台南市,2012,6,28.1,803.5
台南市,2012,7,29.3,254.5
台南市,2012,8,28.0,635.0
台南市,2012,9,28.5,18.6
台南市,2012,10,25.6,2.5
台南市,2012,11,23.6,95.6
台南市,2012,12,19.5,18.0
台南市,2013,1,17.5,7.5
台南市,2013,2,20.4,1.5
台南市,2013,3,22.5,5.5
台南市,2013,4,23.9,111.7
台南市,2013,5,27.3,286.0
台南市,2013,6,29.5,233.5
台南市,2013,7,29.4,148.9
台南市,2013,8,28.9,806.5
台南市,2013,9,28.6,60.2
台南市,2013,10,25.7,0.0
台南市,2013,11,22.8,6.1
台南市,2013,12,18.0,21.1
台南市,2014,1,17.6,0.0
台南市,2014,2,18.4,9.5
台南市,2014,3,21.3,27.6
台南市,2014,4,25.0,12.0
台南市,2014,5,27.2,181.5
台南市,2014,6,29.0,134.3
台南市,2014,7,30.4,123.4
台南市,2014,8,29.0,682.1
台南市,2014,9,29.5,88.0
台南市,2014,10,26.4,1.5
台南市,2014,11,23.9,0.2
台南市,2014,12,17.9,8.0
台南市,2015,1,17.8,13.5
台南市,2015,2,18.9,22.0
台南市,2015,3,21.8,5.1
台南市,2015,4,24.9,25.8
台南市,2015,5,27.7,300.0
台南市,2015,6,30.4,19.0
台南市,2015,7,29.1,225.0
台南市,2015,8,28.4,629.6
台南市,2015,9,28.4,192.0
台南市,2015,10,26.8,31.0
台南市,2015,11,25.1,4.5
台南市,2015,12,20.5,13.5
台南市,2016,1,17.3,170.9
台南市,2016,2,17.4,38.0
台南市,2016,3,19.7,96.5
台南市,2016,4,26.3,146.0
台南市,2016,5,28.4,87.3
台南市,2016,6,29.4,376.5
台南市,2016,7,29.9,374.0
台南市,2016,8,29.3,91.5
台南市,2016,9,28.0,1220.3
台南市,2016,10,27.8,69.0
台南市,2016,11,24.3,48.9
台南市,2016,12,20.9,2.0
台南市,2017,1,19.4,0.0
台南市,2017,2,18.6,1.0
台南市,2017,3,21.5,12.8
台南市,2017,4,24.6,64.5
台南市,2017,5,27.7,79.5
台南市,2017,6,29.3,251.5
台南市,2017,7,29.6,506.9
台南市,2017,8,29.9,196.5
台南市,2017,9,30.0,39.5
台南市,2017,10,27.1,39.5
台南市,2017,11,23.8,1.5
台南市,2017,12,19.1,2.0
台南市,2018,1,18.1,40.0
台南市,2018,2,17.5,11.5
台南市,2018,3,22.3,19.0
台南市,2018,4,25.6,0.5
台南市,2018,5,28.9,83.9
台南市,2018,6,29.0,555.5
台南市,2018,7,29.2,406.0
台南市,2018,8,27.8,1301.0
台南市,2018,9,28.9,31.0
台南市,2018,10,25.8,0.5
台南市,2018,11,24.2,1.0
台南市,2018,12,21.6,0.0
台南市,2019,1,19.7,0.0
台南市,2019,2,22.0,1.5
台南市,2019,3,22.5,74.5
台南市,2019,4,26.0,88.0
台南市,2019,5,26.9,168.0
台南市,2019,6,29.3,273.5
台南市,2019,7,29.2,573.0
台南市,2019,8,28.7,758.0
台南市,2019,9,28.4,180.0
台南市,2019,10,27.1,0.0
台南市,2019,11,23.5,0.0
台南市,2019,12,19.8,60.7
台南市,2020,1,19.0,27.5
台南市,2020,2,20.0,1.5
台南市,2020,3,23.3,29.5
台南市,2020,4,23.4,23.0
台南市,2020,5,28.1,470.5
台南市,2020,6,30.1,58.5
台南市,2020,7,30.2,141.0
台南市,2020,8,28.8,663.5
台南市,2020,9,29.3,56.3
台南市,2020,10,26.8,1.0
台南市,2020,11,24.2,52.0
台南市,2020,12,20.1,6.0
台南市,2021,1,16.5,2.5
台南市,2021,2,19.7,13.5
台南市,2021,3,22.4,5.0
台南市,2021,4,24.6,20.0
台南市,2021,5,29.0,79.5
台南市,2021,6,28.3,793.0
台南市,2021,7,29.1,458.0
台南市,2021,8,28.4,713.0
台南市,2021,9,29.5,115.0
台南市,2021,10,27.3,24.0
台南市,2021,11,23.2,6.5
台南市,2021,12,19.3,11.5
台南市,2022,1,18.5,40.5
台南市,2022,2,17.4,51.0
台南市,2022,3,23.0,27.0
台南市,2022,4,24.6,6.0
台南市,2022,5,25.8,223.0
台南市,2022,6,29.2,154.0
台南市,2022,7,29.9,165.0
台南市,2022,8,29.4,297.5
台南市,2022,9,28.7,25.5
台南市,2022,10,26.5,3.5
台南市,2022,11,25.1,1.0
台南市,2022,12,18.6,7.0
台南市,2023,1,18.0,0.5
台南市,2023,2,18.9,0.0
台南市,2023,3,21.6,0.0
台南市,2023,4,25.3,1.0
台南市,2023,5,27.4,28.5
台南市,2023,6,29.4,179.5
台南市,2023,7,29.8,264.0
台南市,2023,8,29.0,410.0
台南市,2023,9,28.7,394.0
台南市,2023,10,27.1,17.0
台南市,2023,11,24.1,0.0
台南市,2023,12,20.7,15.0
台南市,2024,1,18.5,0.0
台南市,2024,2,20.8,1.5
台南市,2024,3,22.4,2.5
台南市,2024,4,27.0,151.0
台南市,2024,5,27.6,90.0
台南市,2024,6,29.5,337.0
台南市,2024,7,29.9,648.5
台南市,2024,8,29.3,364.0
台南市,2024,9,29.1,264.0
台南市,2024,10,27.1,130.5
台南市,2024,11,23.7,126.5
台南市,2024,12,18.8,23.0
台南市,2025,1,16.8,6.0
台南市,2025,2,17.2,84.0
台南市,2025,3,21.2,9.5
台南市,2025,4,24.9,11.5
台南市,2025,5,28.2,71.0
台南市,2025,6,29.3,355.5
台南市,2025,7,28.7,637.5
台南市,2025,8,29.1,352.5
台南市,2025,9,29.4,72.0
台南市,2025,10,28.4,0.0
台南市,2025,11,23.4,8.5
台南市,2025,12,20.5,3.0
台南市,2026,1,17.9,0.0
台南市,2026,2,20.4,3.0
台南市,2026,3,22.0,30.0
台南市,2026,4,26.1,79.5
台南市,2026,5,29.2,0.0
嘉義市,2010,1,17.2,19.5
嘉義市,2010,2,19.1,53.8
嘉義市,2010,3,21.4,6.9
嘉義市,2010,4,22.2,69.0
嘉義市,2010,5,26.5,103.8
嘉義市,2010,6,27.7,269.8
嘉義市,2010,7,29.0,459.3
嘉義市,2010,8,28.8,208.7
嘉義市,2010,9,27.5,252.3
嘉義市,2010,10,25.1,15.8
嘉義市,2010,11,20.9,40.9
嘉義市,2010,12,17.6,32.7
嘉義市,2011,1,14.7,25.7
嘉義市,2011,2,16.9,19.9
嘉義市,2011,3,18.0,49.7
嘉義市,2011,4,22.7,4.6
嘉義市,2011,5,25.6,150.0
嘉義市,2011,6,28.7,148.5
嘉義市,2011,7,28.7,175.1
嘉義市,2011,8,29.1,112.8
嘉義市,2011,9,27.5,109.5
嘉義市,2011,10,24.9,25.8
嘉義市,2011,11,23.2,180.6
嘉義市,2011,12,17.9,19.5
嘉義市,2012,1,16.6,23.0
嘉義市,2012,2,16.6,77.9
嘉義市,2012,3,19.9,14.7
嘉義市,2012,4,24.8,110.5
嘉義市,2012,5,26.9,192.5
嘉義市,2012,6,27.9,498.5
嘉義市,2012,7,29.0,375.0
嘉義市,2012,8,28.1,699.8
嘉義市,2012,9,27.6,81.6
嘉義市,2012,10,24.5,0.0
嘉義市,2012,11,22.2,85.0
嘉義市,2012,12,18.4,42.8
嘉義市,2013,1,16.7,15.1
嘉義市,2013,2,19.4,3.5
嘉義市,2013,3,21.0,42.4
嘉義市,2013,4,22.5,161.4
嘉義市,2013,5,26.6,376.7
嘉義市,2013,6,28.8,81.7
嘉義市,2013,7,28.4,336.7
嘉義市,2013,8,28.0,1367.2
嘉義市,2013,9,27.5,134.9
嘉義市,2013,10,24.2,4.5
嘉義市,2013,11,21.4,10.2
嘉義市,2013,12,16.8,46.2
嘉義市,2014,1,16.1,0.0
嘉義市,2014,2,17.1,35.6
嘉義市,2014,3,19.9,55.8
嘉義市,2014,4,23.5,24.5
嘉義市,2014,5,26.2,243.6
嘉義市,2014,6,28.7,386.7
嘉義市,2014,7,30.1,203.7
嘉義市,2014,8,28.9,253.0
嘉義市,2014,9,28.8,105.8
嘉義市,2014,10,24.8,0.0
嘉義市,2014,11,22.6,2.9
嘉義市,2014,12,16.9,30.5
嘉義市,2015,1,16.8,6.0
嘉義市,2015,2,18.1,30.1
嘉義市,2015,3,20.9,7.3
嘉義市,2015,4,24.1,108.1
嘉義市,2015,5,27.3,405.5
嘉義市,2015,6,30.1,44.8
嘉義市,2015,7,29.2,245.6
嘉義市,2015,8,28.1,560.5
嘉義市,2015,9,27.5,333.1
嘉義市,2015,10,25.8,17.5
嘉義市,2015,11,24.0,0.4
嘉義市,2015,12,19.8,31.4
嘉義市,2016,1,16.9,139.4
嘉義市,2016,2,16.6,12.3
嘉義市,2016,3,18.7,129.7
嘉義市,2016,4,25.4,193.5
嘉義市,2016,5,27.9,33.5
嘉義市,2016,6,29.1,262.5
嘉義市,2016,7,29.5,208.7
嘉義市,2016,8,29.0,189.4
嘉義市,2016,9,27.6,637.2
嘉義市,2016,10,27.3,24.8
嘉義市,2016,11,23.4,44.7
嘉義市,2016,12,20.4,10.0
嘉義市,2017,1,19.0,1.3
嘉義市,2017,2,18.0,1.2
嘉義市,2017,3,20.8,18.4
嘉義市,2017,4,23.9,105.9
嘉義市,2017,5,27.0,77.8
嘉義市,2017,6,29.0,578.0
嘉義市,2017,7,28.9,663.2
嘉義市,2017,8,29.8,198.6
嘉義市,2017,9,29.5,117.2
嘉義市,2017,10,26.2,79.0
嘉義市,2017,11,23.3,10.5
嘉義市,2017,12,18.6,3.7
嘉義市,2018,1,17.4,76.5
嘉義市,2018,2,16.8,23.7
嘉義市,2018,3,21.0,31.5
嘉義市,2018,4,24.6,7.8
嘉義市,2018,5,28.5,46.5
嘉義市,2018,6,28.5,428.2
嘉義市,2018,7,29.0,377.9
嘉義市,2018,8,28.3,858.5
嘉義市,2018,9,28.1,118.5
嘉義市,2018,10,24.6,8.8
嘉義市,2018,11,23.1,8.0
